,icoPriceUsd,currentStage,goalUsd,total_supply,is_active,price,exchangeName,n_contracts,isbnb,tags_reduce,iseth,issol,ismatic,isada,isavax,lifeday,dayscreated
480,0.036,1,150000.0,500000000.0,0,0.00014163378104392596,10,1.0,1,6,0,0,0,0,0,588,641
481,0.375,1,250000.0,99999645.0,0,0.0004998536339337739,10,1.0,0,6,0,1,0,0,0,612,629
482,0.03,1,150000.0,1000000000.0,1,0.00025464593155137284,10,3.0,1,6,0,1,0,0,0,691,691
483,0.185,1,102478.0,90000000.0,1,0.005526300643519319,10,1.0,1,1,0,0,0,0,0,927,927
484,0.03,1,200000.0,1000000000.0,1,0.00025464593155137284,10,3.0,1,6,0,1,0,0,0,691,691
485,1.25e-07,1,120000.0,1000000000000.0,0,8.100486631485647e-08,10,2.0,1,10,1,0,0,0,0,308,628
486,0.065,1,150000.0,668000000.0,1,0.00030290451000701524,12,1.0,1,2,0,0,0,0,0,653,653
487,0.1,2,300000000.0,1000000000.0,0,0.0038480479482258414,10,1.0,0,10,1,0,0,0,0,357,647
488,0.01,1,200000.0,1000000000.0,0,0.0001810078423220101,10,1.0,1,10,0,0,0,0,0,588,651
489,0.017,1,250053.0,1000000000.0,1,0.0010424981502026895,10,1.0,1,6,0,0,0,0,0,671,671
490,0.017,1,250000.0,1000000000.0,1,0.0010424981502026895,10,1.0,1,6,0,0,0,0,0,671,671
491,0.1,2,500000.0,1000000000.0,0,0.0038480479482258414,10,1.0,0,10,1,0,0,0,0,357,647
492,0.00333,1,500000.0,10000000000.0,1,0.0002514904920701833,11,1.0,0,3,0,0,0,0,0,636,636
493,0.0,1,300000000.0,4999971162.948941,1,0.0009298985440925483,10,1.0,0,3,0,1,0,0,0,627,627
494,0.035,1,300000000.0,1000000000.0,0,0.00040320486745706955,10,1.0,1,6,0,0,0,0,0,629,651
495,0.035,1,300000000.0,1000000000.0,0,0.00040320486745706955,10,1.0,1,6,0,0,0,0,0,629,651
496,0.04,1,200000.0,1000000000.0,0,0.0018645238829260399,10,2.0,1,10,1,0,0,0,0,562,651
497,0.018,5,360000.0,1000000000.0,1,0.00010007619446080989,12,1.0,1,6,0,0,0,0,0,636,636
498,0.06,1,125000.0,250000000.0,0,0.003055678141195839,5,1.0,1,10,0,0,0,0,0,308,651
499,0.022,1,150000.0,1000000000.0,1,0.000515121236454742,6,1.0,1,10,0,0,0,0,0,619,619
500,0.008,1,150000.0,1e+17,0,0.0,5,1.0,0,6,0,0,0,0,0,636,636
501,0.055,1,300000000.0,494932275.91,1,0.005722146008946979,10,1.0,1,10,0,0,0,0,0,634,634
502,0.0,1,300000000.0,798169770.31,1,0.013626904144059903,10,1.0,0,10,1,0,0,0,0,641,641
503,0.2,0,100000000.0,1000000000.0,1,1.0002354105917319e-08,10,1.0,0,10,0,0,1,0,0,614,614
504,0.0,1,300000000.0,2000000000.0,0,0.00014544112028321127,10,2.0,1,10,1,0,0,0,0,647,656
505,0.0025,1,100000.0,7000000000.0,0,7.229193800007255e-06,5,1.0,1,6,0,0,0,0,0,570,661
506,0.0025,1,250000.0,7000000000.0,0,7.229193800007255e-06,10,1.0,1,6,0,0,0,0,0,570,661
507,0.0025,1,175000.0,7000000000.0,0,7.229193800007255e-06,12,1.0,1,6,0,0,0,0,0,570,661
508,0.016,1,80000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,649,649
509,0.003,1,100000.0,3000000000.0,1,0.001420235999400737,10,2.0,1,3,1,0,0,0,0,695,695
510,0.05,1,100000.0,1000000000.0,1,0.0016306837898877006,10,1.0,0,10,1,0,0,0,0,648,648
511,0.135,1,200000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,1,674,674
512,0.02,1,350000.0,1000000000.0,1,0.0003364375923553587,10,1.0,1,10,0,0,0,0,0,642,642
513,0.05,1,250000.0,565000000.0,1,0.0030288443984946697,10,1.0,1,6,0,0,0,0,0,642,642
514,0.3,1,95000.0,100000000.0,1,0.0021995333342261455,6,1.0,1,10,0,0,0,0,0,642,642
515,0.02,1,250000.0,1000000000.0,1,0.0003364375923553587,11,1.0,1,10,0,0,0,0,0,642,642
516,0.003,1,50000.0,3000000000.0,1,0.001420235999400737,10,2.0,1,3,1,0,0,0,0,695,695
517,0.0533,1,150000.0,500000000.0,1,0.000542316945123178,10,1.0,0,3,0,1,0,0,0,664,664
518,0.09,1,1019700.0,100000000.0,0,0.004233733034946492,10,1.0,1,10,0,0,0,0,0,615,662
519,0.01,1,75000.0,1000000000.0,0,0.00018168965268562588,10,1.0,1,10,0,0,0,0,0,472,664
520,0.016,1,80000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,649,649
521,0.18,1,300000000.0,295669301.038217,1,0.022384293570037312,8,1.0,0,6,1,0,0,0,0,640,640
522,0.0018,1,300000000.0,29609085840.53117,1,0.0009223797079308806,8,1.0,0,6,1,0,0,0,0,640,640
523,0.01,0,1200000.0,350000000.0,1,0.00029678288530818027,10,1.0,1,10,0,0,0,0,0,690,690
524,0.02,1,285000.0,1000000000.0,1,0.0010048694003703714,3,2.0,1,10,0,0,0,0,0,635,635
525,0.045,1,150000.0,500000000.0,1,0.00021636366146578562,1,1.0,1,6,0,0,0,0,0,555,555
526,0.045,1,300000.0,500000000.0,1,0.00021636366146578562,10,1.0,1,6,0,0,0,0,0,555,555
527,0.005,1,100000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,730,730
528,0.001,0,300000.0,30000000000.0,1,0.0001070709869531615,10,1.0,1,10,0,0,0,0,0,640,640
529,0.006,1,200000.0,1835000000.0,1,0.005138429058543715,10,2.0,1,10,1,0,0,0,0,661,661
530,0.005,1,100000.0,1e+17,0,0.0,3,1.0,0,10,0,0,0,0,0,730,730
531,0.0,1,300000000.0,1000000000.0,1,0.0034777314729850036,10,2.0,0,10,1,0,0,0,0,648,648
532,0.01,1,125000.0,1000000000.0,0,0.00018168965268562588,10,1.0,1,10,0,0,0,0,0,472,664
533,0.0,1,100000.0,100000000.0,0,0.0011522181131030176,10,1.0,1,10,0,0,0,0,0,271,698
534,0.1,1,100000.0,100000000.0,1,0.007968593060841918,10,2.0,0,6,1,0,0,0,1,639,639
535,0.08,1,200000.0,100000000.0,0,0.004233733034946492,10,1.0,1,10,0,0,0,0,0,615,662
536,4e-06,2,2000000.0,20000000000000.0,1,1.368303156647216e-09,10,1.0,1,10,0,0,0,0,0,649,649
537,0.065,1,300000000.0,100000000.0,0,0.005448016702638609,10,1.0,1,10,0,0,0,0,0,561,663
538,0.125,1,150000.0,200000000.0,1,0.0027478948694003016,5,1.0,0,6,0,1,0,0,0,662,662
539,0.01,1,200000.0,1e+17,1,0.005460285106420265,10,1.0,0,10,0,1,0,0,0,676,676
540,0.125,1,350000.0,200000000.0,1,0.0027478948694003016,10,1.0,0,6,0,1,0,0,0,662,662
541,0.0,1,300000000.0,400000000.0,1,0.0009860251607270527,11,1.0,1,6,0,0,0,0,0,645,645
542,0.1,1,95000.0,100000000.0,1,0.007968593060841918,4,2.0,0,6,1,0,0,0,1,639,639
543,2.5e-08,1,100000.0,1000000000000000.0,0,2.378006127478532e-09,10,1.0,1,10,0,0,0,0,0,173,649
544,0.0,1,300000000.0,1000000000.0,1,0.0004371988919074339,10,1.0,1,10,0,0,0,0,0,660,660
545,0.2,1,150000.0,100000000.0,1,0.014176853228929549,10,1.0,1,10,0,0,0,0,0,654,654
546,0.007,1,100000.0,602193472.0,0,7.304017044799176e-05,12,2.0,1,12,0,0,1,0,0,597,688
547,0.2,0,6000000.0,300000000.0,1,0.13078190084951233,1,1.0,0,6,0,0,1,0,0,641,641
548,0.1,1,100000.0,100000000.0,1,0.007968593060841918,10,2.0,0,6,1,0,0,0,1,639,639
549,0.007,1,150000.0,602193472.0,0,7.304017044799176e-05,10,2.0,1,12,0,0,1,0,0,597,688
550,0.007,1,100000.0,602193472.0,0,7.304017044799176e-05,10,2.0,1,12,0,0,1,0,0,597,688
551,0.015,1,1170000.0,1e+17,0,0.0,11,1.0,0,3,0,0,0,0,0,664,664
552,0.0005,1,300000000.0,1e+17,0,1.9589574285773895e-07,10,1.0,1,10,0,0,0,0,0,57,671
553,0.0,1,900000.0,1e+17,0,2.622616578680481e-08,10,1.0,1,10,0,0,0,0,0,203,664
554,0.1,1,50000.0,100000000.0,1,0.0007746861245809172,10,1.0,1,10,0,0,0,0,0,664,664
555,0.145,4,290000.0,10000000000.0,1,0.00018445669560278357,10,1.0,1,10,0,0,0,0,0,656,656
556,0.1,1,100000.0,100000000.0,1,0.0007746861245809172,4,1.0,1,10,0,0,0,0,0,664,664
